step,return
50000,0.31516153927387397
60000,22.116149755213026
70000,138.9768978302686
80000,283.5281349760265
90000,292.52880835136074
100000,393.1390289288994
110000,463.76520248494927
120000,479.68434704375676
130000,437.8243378719547
140000,564.1205059956734
150000,585.6206285047274
160000,527.4904078845027
170000,571.3472332044073
180000,540.0550002496198
190000,583.7461041061066
200000,613.0412958176661
210000,626.8944368154323
220000,634.312212509149
230000,623.9223578632159
240000,604.7555439158998
250000,633.708893223187
260000,660.0743647466788
270000,658.580298785076
280000,642.3169812451163
290000,671.2767219834727
300000,662.080230916094
310000,678.1272771811218
320000,691.6243601874551
330000,692.3810039210516
340000,703.3864716304003
350000,728.504408076325
360000,717.9722109506928
370000,732.1206116589433
380000,716.0869709619848
390000,702.5044856137006
400000,728.6148330402757
410000,726.3940603471967
420000,757.5393263867661
430000,775.8476940626746
440000,755.3427824347809
450000,787.1087413636885
460000,805.5524521234288
470000,813.8472092863228
480000,812.9803040480688
490000,823.0592491730115
500000,776.9872428112894
510000,801.2874282410601
520000,818.2196105014177
530000,846.754488006106
540000,834.7951135616981
550000,839.7712284574432
560000,846.0015499433347
570000,805.033186330528
580000,808.1811997109633
590000,793.7966813586356
600000,796.9598450480482
610000,828.8919105165722
620000,831.5910963201779
630000,812.4610083034613
640000,836.0875902820486
650000,851.3893598820589
660000,843.5759893044583
670000,813.4812522030008
680000,825.3893928930482
690000,853.6739364291193
700000,836.3515905580095
710000,852.3825571712575
720000,851.9548877129833
730000,849.7071824679929
740000,855.9833306717865
750000,866.4296680464972
760000,851.6050782669652
770000,870.2880090879138
780000,850.4163048031038
790000,863.9330737732134
800000,860.8468156154581
810000,878.018530961552
820000,880.2534999824165
830000,838.0760874706887
840000,866.2150426564592
850000,867.8996125455014
860000,868.1382366966864
870000,876.952418001127
880000,861.8672218990348
890000,881.2425297471566
900000,876.3228988739746
910000,883.8383257324869
920000,866.3225183850325
930000,868.4983805770353
940000,881.5018398492771
950000,860.1239929915472
960000,855.5204836315913
970000,879.6884116880933
980000,886.0470352413213
990000,865.6125499465629
1000000,857.25609286636
1010000,878.7116775032115
1020000,864.6182530821769
1030000,880.8852850788139
1040000,878.1315990829557
1050000,868.5759677594441
1060000,882.9733303034263
1070000,884.6306825069801
1080000,881.7921521740526
1090000,882.4623403167827
1100000,889.5669499537757
1110000,877.3748798538868
1120000,884.2935768300082
1130000,889.3566800655728
1140000,870.9505127796072
1150000,886.9352943329379
1160000,892.100589078105
1170000,889.770690837558
1180000,890.4899987730939
1190000,881.4358894453562
1200000,887.3425264931847
1210000,881.3086187851703
1220000,876.9335340171658
1230000,874.2935481196355
1240000,878.7254002832386
1250000,883.6521297021541
1260000,890.2673771923661
1270000,786.0935369360425
1280000,883.4954817350479
1290000,871.6859027635987
1300000,848.6296110403414
1310000,865.9969460546696
1320000,891.0777859761276
1330000,882.2001211462391
1340000,867.8830094259656
1350000,878.9645763753922
1360000,886.4545428237993
1370000,865.7880257077074
1380000,883.5846091900185
1390000,860.6900685279941
1400000,866.369417946052
1410000,865.7177457872793
1420000,856.2474610083489
1430000,881.3117771762177
1440000,877.4022040203181
1450000,885.8589366623253
1460000,887.7414031215933
1470000,887.0775730840803
1480000,886.3796471364385
1490000,879.7614217927944
1500000,876.9580997481371
1510000,886.9782856530181
1520000,892.1582614869071
1530000,890.3867703572389
1540000,890.8893481844801
1550000,884.285131955516
1560000,890.6679831307529
1570000,892.3986581471892
1580000,883.430868996978
1590000,827.6615126746367
1600000,894.7747298236918
1610000,891.8116136938247
1620000,884.7884147431882
1630000,882.5912125095952
1640000,880.453266049851
1650000,884.3439765743815
1660000,887.1966989894042
1670000,875.2751703838652
1680000,879.6815333435221
1690000,885.8134883957507
1700000,854.070575292892
1710000,831.7540883832295
1720000,885.3890327967704
1730000,887.5150635966256
1740000,882.3810495357402
1750000,882.5719866367867
1760000,885.7489862310001
1770000,888.5742361395431
1780000,886.0161068082534
1790000,865.1289057203255
1800000,863.4180933416769
1810000,823.3781215252391
1820000,884.5429509858025
1830000,877.2912724522624
1840000,886.5282111468724
1850000,852.0413169104129
1860000,886.1843153831227
1870000,889.6613835183316
1880000,875.4651286966138
1890000,889.4368745475186
1900000,869.2063289855482
1910000,883.3073305334973
1920000,889.3308366670287
1930000,862.3009062891729
1940000,891.1378250939008
1950000,824.6593366914002
1960000,874.790292604304
1970000,880.2160011864144
1980000,884.6814903582338
1990000,686.0362648746368
2000000,879.3156839269514
